[0531/011926.983:ERROR:local_storage_context_mojo.cc(706)] Lost connection to database
[0531/081155.127:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0531/095937.508:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0531/095942.595:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0531/095947.632:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0531/095952.645:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0531/095957.677:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0531/100002.704:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0531/100007.716:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0531/100012.756:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0531/100017.781:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0531/100022.824:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0531/100027.846:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0531/100032.888:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0531/100037.915:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0531/100042.943:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0531/100047.977:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0531/100053.018:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0531/100058.047:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0531/100103.083:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0531/100108.122:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0531/100113.158:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0531/100118.180:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
